Episode,Epsilon,Episode Reward,Mean Reward
0,0.8998200000000001,-424,-424.0
1,0.8996400360000001,-428,-426.0
2,0.8994601079928001,-311,-387.6666666666667
3,0.8992802159712016,-306,-367.25
4,0.8991003599280073,-351,-364.0
5,0.8989205398560217,-24,-307.3333333333333
6,0.8987407557480506,-300,-306.2857142857143
7,0.8985610075969009,-323,-308.375
8,0.8983812953953816,-28,-277.22222222222223
9,0.8982016191363025,-300,-279.5
10,0.8980219788124753,6,-253.54545454545453
11,0.8978423744167128,-33,-235.16666666666666
12,0.8976628059418295,13,-216.07692307692307
13,0.8974832733806412,-404,-229.5
14,0.8973037767259651,-388,-240.06666666666666
15,0.8971243159706199,20,-223.8125
16,0.8969448911074258,-327,-229.88235294117646
17,0.8967655021292044,-300,-233.77777777777777
18,0.8965861490287785,21,-220.3684210526316
19,0.8964068317989728,-39,-211.3
20,0.896227550432613,-345,-217.66666666666666
21,0.8960483049225265,-492,-230.13636363636363
22,0.895869095261542,-312,-233.69565217391303
23,0.8956899214424897,-380,-239.79166666666666
24,0.8955107834582012,-95,-234.0
25,0.8953316813015096,-315,-237.1153846153846
26,0.8951526149652493,-5,-228.5185185185185
27,0.8949735844422563,-302,-231.14285714285714
28,0.8947945897253679,5,-223.0
29,0.8946156308074228,-110,-219.23333333333332
30,0.8944367076812614,-314,-222.29032258064515
31,0.8942578203397251,-356,-226.46875
32,0.8940789687756572,-372,-230.87878787878788
33,0.8939001529819021,-382,-235.3235294117647
34,0.8937213729513057,-367,-239.0857142857143
35,0.8935426286767155,-476,-245.66666666666666
36,0.8933639201509802,-478,-251.94594594594594
37,0.89318524736695,-314,-253.57894736842104
38,0.8930066103174766,-329,-255.51282051282053
39,0.8928280089954131,-24,-249.725
40,0.8926494433936141,-325,-251.5609756097561
41,0.8924709135049353,-365,-254.26190476190476
42,0.8922924193222344,-301,-255.34883720930233
43,0.8921139608383699,21,-249.0681818181818
44,0.8919355380462023,-334,-250.95555555555555
45,0.8917571509385931,22,-245.02173913043478
46,0.8915787995084054,18,-239.4255319148936
47,0.8914004837485037,-339,-241.5
48,0.891222203651754,-200,-240.6530612244898
49,0.8910439592110236,25,-235.34
50,0.8908657504191815,-322,-237.0392156862745
51,0.8906875772690976,-173,-235.80769230769232
52,0.8905094397536438,5,-231.26415094339623
53,0.8903313378656931,-79,-228.44444444444446
54,0.89015327159812,20,-223.92727272727274
55,0.8899752409438003,-342,-226.03571428571428
56,0.8897972458956116,-430,-229.6140350877193
57,0.8896192864464325,15,-225.39655172413794
58,0.8894413625891432,-315,-226.91525423728814
59,0.8892634743166253,-326,-228.56666666666666
60,0.8890856216217621,-14,-225.04918032786884
61,0.8889078044974378,24,-221.03225806451613
62,0.8887300229365384,-347,-223.03174603174602
63,0.888552276931951,-3,-219.59375
64,0.8883745664765647,-371,-221.92307692307693
65,0.8881968915632693,-304,-223.16666666666666
66,0.8880192521849567,-314,-224.52238805970148
67,0.8878416483345197,-107,-222.7941176470588
68,0.8876640800048529,-336,-224.43478260869566
69,0.8874865471888519,16,-221.0
70,0.8873090498794142,-311,-222.26760563380282
71,0.8871315880694383,-319,-223.61111111111111
72,0.8869541617518244,-160,-222.73972602739727
